County,declarationTitle,declarationDate,disasterNumber,fipsCountyCode,lat,lon
KITTITAS,SNAG CANYON FIRE,2014-08-03 00:00:00+00:00,5071,37,47.1244411,-120.6767092
KITTITAS,SADDLE MOUNTAIN FIRE,2014-07-19 00:00:00+00:00,5064,37,47.1244411,-120.6767092
LINCOLN,WATERMELON HILL FIRE,2014-07-19 00:00:00+00:00,5063,43,47.5827433,-118.4176925
OKANOGAN,CARLTON COMPLEX FIRE,2014-07-17 00:00:00+00:00,5062,47,48.5484533,-119.7422347
CHELAN,CHIWAUKUM FIRE ,2014-07-17 00:00:00+00:00,5061,7,47.8609739,-120.619041
CHELAN,MILLS CANYON FIRE ,2014-07-10 00:00:00+00:00,5059,7,47.8609739,-120.619041
STEVENS,LAKE SPOKANE FIRE ,2014-07-10 00:00:00+00:00,5058,65,48.3887277,-117.8544548
CHELAN,EAGLE FIRE ,2013-08-21 00:00:00+00:00,5048,7,47.8609739,-120.619041
CHELAN,MILE POST 10 FIRE,2013-08-10 00:00:00+00:00,5042,7,47.8609739,-120.619041
CHELAN,COLOCKUM TARPS FIRE ,2013-07-30 00:00:00+00:00,5038,7,47.8609739,-120.619041
CHELAN,TABLE MOUNTAIN FIRE ,2012-09-20 00:00:00+00:00,5020,7,47.8609739,-120.619041
CHELAN,PEAVINE FIRE,2012-09-13 00:00:00+00:00,5018,7,47.8609739,-120.619041
CHELAN,POISON FIRE,2012-09-12 00:00:00+00:00,5017,7,47.8609739,-120.619041
CHELAN,BYRD CANYON FIRE,2012-09-10 00:00:00+00:00,5015,7,47.8609739,-120.619041
DOUGLAS,BARKER CANYON FIRE ,2012-09-09 00:00:00+00:00,5013,17,47.7417625,-119.6946219
CHELAN,1ST CANYON FIRE,2012-09-09 00:00:00+00:00,5012,7,47.8609739,-120.619041
KLICKITAT,HIGHWAY 141 FIRE COMPLEX,2012-09-06 00:00:00+00:00,5011,39,45.8704463,-120.7793049
KITTITAS,TAYLOR BRIDGE FIRE,2012-08-14 00:00:00+00:00,5005,37,47.1244411,-120.6767092
WHITMAN,WILDFIRES,2024-02-15 00:00:00+00:00,4759,75,46.9059441,-117.5353898
OKANOGAN,WILDFIRES,2021-12-21 00:00:00+00:00,4631,0,48.5484533,-119.7422347
OKANOGAN,WILDFIRES AND STRAIGHT-LINE WINDS,2021-02-04 00:00:00+00:00,4584,0,48.5484533,-119.7422347
OKANOGAN,SWAWILLA FIRE ,2024-07-24 00:00:00+00:00,5518,0,48.5484533,-119.7422347
YAKIMA,WEST WHITE SWAN FIRE,2024-07-23 00:00:00+00:00,5517,77,46.4565581,-120.7401446
YAKIMA,SLIDE RANCH FIRE,2024-06-23 00:00:00+00:00,5499,77,46.4565581,-120.7401446
OKANOGAN,WILDFIRES AND MUDSLIDES,2015-10-20 00:00:00+00:00,4243,0,48.5484533,-119.7422347
YAKIMA,RETREAT FIRE,2024-07-26 00:00:00+00:00,5521,77,46.4565581,-120.7401446
OKANOGAN,WILDFIRES,2014-08-11 00:00:00+00:00,4188,0,48.5484533,-119.7422347
OKANOGAN,WILDFIRES,2015-08-21 00:00:00+00:00,3372,0,48.5484533,-119.7422347
OKANOGAN,WILDFIRES,2014-07-23 00:00:00+00:00,3371,0,48.5484533,-119.7422347
OKANOGAN,WILDFIRES,2024-11-26 00:00:00+00:00,4849,0,48.5484533,-119.7422347
KLICKITAT,MONASTERY FIRE COMPLEX,2011-09-08 00:00:00+00:00,2966,39,45.8704463,-120.7793049
STEVENS,SLIDE CREEK WILDFIRE,2010-08-27 00:00:00+00:00,2854,65,48.3887277,-117.8544548
YAKIMA,COWICHE MILLS FIRE,2010-07-19 00:00:00+00:00,2848,77,46.4565581,-120.7401446
BENTON,DRY CREEK FIRE COMPLEX ,2009-08-22 00:00:00+00:00,2827,5,46.2281252,-119.5166594
OKANOGAN,ODEN ROAD FIRE,2009-08-22 00:00:00+00:00,2826,47,48.5484533,-119.7422347
CHELAN,UNION VALLEY FIRE,2009-07-29 00:00:00+00:00,2823,7,47.8609739,-120.619041
DOUGLAS,BADGER MOUNTAIN FIRE COMPLEX,2008-07-11 00:00:00+00:00,2784,17,47.7417625,-119.6946219
SPOKANE,SPOKANE VALLEY FIRE,2008-07-11 00:00:00+00:00,2783,63,47.6203752,-117.4033714
SKAMANIA,BROUGHTON FIRE,2007-09-21 00:00:00+00:00,2731,59,46.0247853,-121.9532319
OKANOGAN,TUNK GRADE FIRE,2007-07-16 00:00:00+00:00,2714,47,48.5484533,-119.7422347
CHELAN,EASY STREET FIRE,2007-07-08 00:00:00+00:00,2711,7,47.8609739,-120.619041
CHELAN,FLICK CREEK FIRE,2006-09-11 00:00:00+00:00,2674,7,47.8609739,-120.619041
COLUMBIA,COLUMBIA FIRE COMPLEX,2006-08-22 00:00:00+00:00,2668,13,46.2928505,-117.9116345
STEVENS,VALLEY MILL FIRE,2006-08-08 00:00:00+00:00,2663,65,48.3887277,-117.8544548
COLUMBIA,SCHOOL FIRE,2005-08-07 00:00:00+00:00,2575,13,46.2928505,-117.9116345
CHELAN,DIRTY FACE FIRE,2005-08-01 00:00:00+00:00,2572,7,47.8609739,-120.619041
YAKIMA,MUD LAKE FIRE,2004-08-12 00:00:00+00:00,2546,77,46.4565581,-120.7401446
CHELAN,WA-FISCHER WILDFIRE-08-11-2004,2004-08-11 00:00:00+00:00,2543,7,47.8609739,-120.619041
KITTITAS,ELK HEIGHTS FIRE,2004-07-30 00:00:00+00:00,2538,37,47.1244411,-120.6767092
CHELAN,DEEP HARBOR FIRE,2004-07-30 00:00:00+00:00,2537,7,47.8609739,-120.619041
DOUGLAS,WA-BEEBE FIRE-07-04-2004,2004-07-06 00:00:00+00:00,2527,17,47.7417625,-119.6946219
OKANOGAN,WA-NEEDLE FIRE-09-06-2003,2003-09-06 00:00:00+00:00,2498,47,48.5484533,-119.7422347
OKANOGAN,WA-OKANOGAN CITY FIRE-07-16-2003,2003-07-16 00:00:00+00:00,2481,47,48.5484533,-119.7422347
YAKIMA,WA-MIDDLE FORK FIRE-07-12-2003,2003-07-12 00:00:00+00:00,2477,77,46.4565581,-120.7401446
OKANOGAN,WA - PICKENS FIRE - 07/24/02,2002-07-25 00:00:00+00:00,2451,47,48.5484533,-119.7422347
CHELAN,WA - DEER POINT FIRE - 07/20/02,2002-07-20 00:00:00+00:00,2449,7,47.8609739,-120.619041
CHELAN,WA - REX CREEK FIRE COMPLEX - 2379,2001-08-17 00:00:00+00:00,2379,7,47.8609739,-120.619041
FERRY,WA - MT LEONA FIRE COMPLEX - 2378,2001-08-17 00:00:00+00:00,2378,19,48.4732563,-118.5335894
YAKIMA,WA SPRUCE DOME FIRE COMPLEX 2377,2001-08-16 00:00:00+00:00,2377,77,46.4565581,-120.7401446
OKANOGAN,WA TONASKET FIRE COMPLEX 2376,2001-08-16 00:00:00+00:00,2376,47,48.5484533,-119.7422347
CHELAN,WA - ICICLE FIRE COMPLEX - 2374,2001-08-14 00:00:00+00:00,2374,7,47.8609739,-120.619041
OKANOGAN,WA BREWSTER FIRE COMPLEX 2373,2001-08-14 00:00:00+00:00,2373,47,48.5484533,-119.7422347
OKANOGAN,WA - VIRGINIA LAKES COMPLEX - 2372,2001-08-14 00:00:00+00:00,2372,47,48.5484533,-119.7422347
CHELAN,WA - UNION VALLEY FIRE - 07/28/01,2001-07-28 00:00:00+00:00,2368,7,47.8609739,-120.619041
KLICKITAT,WA - MULE DRY FIRE - 2000,2000-08-25 00:00:00+00:00,2323,39,45.8704463,-120.7793049
OKANOGAN,WA-WILDFIRE-07-24-2000,2000-07-22 00:00:00+00:00,2313,47,48.5484533,-119.7422347
BENTON,TWO FORK FIRE,2000-02-29 00:00:00+00:00,2311,5,46.2281252,-119.5166594
KLICKITAT,WA - CLEVELAND FIRE - 07/28/98,1998-07-28 00:00:00+00:00,2225,39,45.8704463,-120.7793049
FERRY,FIRES,1991-11-13 00:00:00+00:00,922,19,48.4732563,-118.5335894
